,title,authors,ratings,year,average_rating
175,True Love,Isaac Asimov,150,1977.0,1.7108913483722277
176,The Machine that Won the War,Isaac Asimov,154,1961.0,1.2536578861190961
180,Liar!,Isaac Asimov,139,1941.0,1.1400686323839442
181,Our Federal Union: The United States from 1816-1865,Isaac Asimov,133,1975.0,1.1973056109480167
182,The Exploding Suns: The Secrets of the Supernovas,Isaac Asimov,127,1977.0,1.2864417416783027
183,The Genetic Code,Isaac Asimov,137,1962.0,1.634270885739591
184,Little Lost Robot,Isaac Asimov,133,1947.0,1.68536747111516
186,Adding a Dimension: Seventeen Essays on the History of Science,Isaac Asimov,122,1964.0,1.9108944382434583
187,Sally,Isaac Asimov,135,1953.0,1.5726341336090672
188,A Short History of Biology,Isaac Asimov,129,1964.0,1.681401644408779
189,The Beginning and the End,Isaac Asimov,127,1977.0,1.563312408989376
191,Isaac Asimov Presents The Great SF Stories 3: 1941,Isaac Asimov,124,1980.0,1.4164565732631038
192,"Quasar, Quasar, Burning Bright",Isaac Asimov,125,1978.0,1.4692601524231241
193,The Search for the Elements,Isaac Asimov,123,1962.0,1.6945116863228233
194,Evidence,Isaac Asimov,113,1946.0,1.8519415854451062
197,It\'s Such a Beautiful Day,Isaac Asimov,119,1954.0,1.4844057189361362
198,The World Of Carbon,Isaac Asimov,109,1958.0,1.3958865746018327
199,The Subatomic Monster,Isaac Asimov,121,1981.0,1.6998047403185557
201,X Stands for Unknown,Isaac Asimov,115,1983.0,1.8036654303072903
203,"Understanding Physics: Volume 1: Motion, Sound, and Heat",Isaac Asimov,105,1966.0,1.4371834248556221
208,The Neutrino: Ghost Particle of the Atom,Isaac Asimov,106,1969.0,1.0474746400870838
210,"Understanding Physics: Volume 2: Light, Magnetism and Electricity",Isaac Asimov,102,1966.0,1.7424833864520024
211,The Ugly Little Boy [Short-story],Isaac Asimov,102,1958.0,1.0294258372421368
212,"Science, Numbers, And I",Isaac Asimov,105,1968.0,1.7056475406041907
213,Los lagartos terribles,Isaac Asimov,120,1989.0,1.692622498436295
218,Eyes Do More Than See,Isaac Asimov,111,1965.0,1.938325997235316
219,Exploring The Earth And The Cosmos: The Growth And Future Of Human Knowledge,Isaac Asimov,106,1982.0,1.427860316732512
220,Jokester,Isaac Asimov,106,1956.0,1.5001382080335999
225,De los n\xc3\xbameros y su historia,Isaac Asimov,102,1973.0,1.8559918316531978
227,Hostess,Isaac Asimov,101,1951.0,1.537769964750121
228,La Edad de Oro de la ciencia ficci\xc3\xb3n I,Isaac Asimov,102,1974.0,1.2913369995137207
234,Opus 200,Isaac Asimov,103,1979.0,1.277837673498501
2610,The Rest of the Robots ,Isaac Asimov,5216,1964.0,1.4946430686599887
2611,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4773,1981.0,1.9947144818425646
2612,Nine Tomorrows,Isaac Asimov,4943,1959.0,1.1111302852097178
2613,The Martian Way and Other Stories,Isaac Asimov,4280,1955.0,1.8368372770747965
2615,Buy Jupiter and Other Stories,Isaac Asimov,3666,1975.0,1.7845859407024607
2616,Azazel,Isaac Asimov,3588,1988.0,1.4009999729190263
2617,The Robot Novels: The Caves of Steel / The Naked Sun / The Robots of Dawn ,Isaac Asimov,2799,1952.0,1.887703560685039
2620,Tales of the Black Widowers ,Isaac Asimov,2437,1974.0,1.4296038236950366
2621,"The Complete Stories, Vol. 2",Isaac Asimov,2162,1990.0,1.5901227963675373
2622,Youth,Isaac Asimov,2262,1952.0,1.1209120994703015
2623,Fantastic Voyage II:  Destination Brain,Isaac Asimov,2225,1987.0,1.4425605667020882
2624,The Last Answer,Isaac Asimov,1907,1980.0,1.386552867600352
2626,Asimov\'s Mysteries,Isaac Asimov,1692,1968.0,1.9463642489732262
2628,The Edge of Tomorrow,Isaac Asimov,1178,1985.0,1.756410207362919
2629,The Best of Isaac Asimov,Isaac Asimov,1091,1973.0,1.307594150630043
2630,More Tales of the Black Widowers ,Isaac Asimov,1122,1976.0,1.547539658292704
2633,Understanding Physics,Isaac Asimov,926,1966.0,1.053405117217547
2634,Murder at the ABA,Isaac Asimov,1010,1976.0,1.675145261383304
2635,Nightfall,Isaac Asimov,857,1941.0,1.0764028480504844
2636,Casebook of the Black Widowers ,Isaac Asimov,879,1980.0,1.643261142954297
2638,The Empire Novels ,Isaac Asimov,783,1952.0,1.2931542478009717
2639,The Early Asimov: Book One,Isaac Asimov,852,1972.0,1.4338247937450952
